label,titlebody
0,"india's reliance family feud heats up. the ongoing public spat between the two heirs of india's biggest conglomerate, reliance group, has spilled over to the board meeting of a leading company within the group. anil ambani, vice-chairman of india petrochemicals limited (ipcl), stayed away from a gathering of senior managers on thursday. the move follows a decision earlier this month by anil - the younger brother of reliance group president mukesh ambani - to resign from his post. his resignation was not accepted by his brother, who is also the boss of ipcl. the ipcl board met in mumbai to discuss the company's results for the october-to-december quarter. it is understood that the board also considered anil's resignation and asked him to reconsider his decision. however, anil's demand that anand jain - another ipcl board member accused by anil of creating a rift in the ambani family - be thrown out, was not met. anil has accused anand jain, a confidant of his brother mukesh, of playing a negative role in the ambani family, and being responsible for the trouble between the brothers. on wednesday, the board of reliance energy, another reliance group company, reaffirmed its faith in anil, who is the company's chief. reliance group"
0,"cars pull down us retail figures. us retail sales fell 0.3% in january, the biggest monthly decline since last august, driven down by a heavy fall in car sales. the 3.3% fall in car sales had been expected, coming after december's 4% rise in car sales, fuelled by generous pre-christmas special offers. excluding the car sector, us retail sales were up 0.6% in january, twice what some analysts had been expecting. us retail spending is expected to rise in 2005, but not as quickly as in 2004. steve gallagher, us chief economist at sg corporate & investment banking, said january's figures were ""decent numbers"". ""we are not seeing the numbers that we saw in the second half of 2004, but they are still pretty healthy,"" he added. sales at appliance and electronic stores were down 0.6% in january, while sales at hardware stores dropped by 0.3% and furniture store sales dipped 0.1%. sales at clothing and clothing accessory stores jumped 1.8%, while sales at general merchandise stores, a category that includes department stores, rose by 0.9%. these strong gains were in part put down to consumers spending gift vouchers they had been given for christmas. sales at restaurants, bars and coffee houses rose by 0.3%, while"
0,"ryanair in $4bn boeing plane deal. budget airline ryanair has placed an order for 70 boeing 737-800 planes, in a deal valued at $4bn (â£2.1bn) which should lead to 2,500 new ryanair jobs. it also has an option for a further 70 aircraft, a move which brings the ryanair/boeing order book up to 225 firm orders and options on 193 more. ryanair said the new planes would help it to cut operating costs further. the carrier reported a drop in quarterly profit earlier this year after it was hit by higher fuel costs. however, when it reported the results, the airline was upbeat about prospects for 2005, despite tough competition in the budget airline market. ryanair chairman david bonderman said that the 737-800 had ""significantly reduced our unit operating costs and allowed us to reduce air fares each year for the last five years"". ""with this new order and new pricing in place, ryanair expects that unit operating costs (excluding fuel) will continue to fall each year for the next five years,"" he added. at the end of this year, ryanair will have taken delivery of about 100 new planes, while the 70 new orders are due for delivery between 2008 and 2012. the airline said"
0,"trial begins of spain's top banker. the trial of emilio botin, the chairman of spain's most powerful bank, santander central hispano, has started in madrid. mr botin is accused of misusing the bank's funds after he approved the payment of 160m euros ($208m; â£111m) in bonus and pension payouts to two former executives. however, the trial was suspended when mr botin's lawyer introduced a new set of documents on the day testimony was set to begin. a three-judge panel gave prosecution lawyers until monday to study the documents, when the trial will be reconvened. the high-profile case began after two santander shareholders filed a criminal complaint about the payments to jose maria amusategui and angel corcostegui, who stepped down in 2001. both executives helped mr botin orchestrate spain's biggest bank merger, between santander and banco central hispano, in 1999. as he arrived at spain's high court earlier on wednesday, mr botin greeted the waiting media, saying: ""i have full faith in justice."" santander's board of governors strongly reject the charges against their chairman, saying the payouts were legal and made with their unanimous support. but if convicted, mr botin could face a prison term of up to six years. mr corcostegui, a former ceo at santander,"
0,"japanese growth grinds to a halt. growth in japan evaporated in the three months to september, sparking renewed concern about an economy not long out of a decade-long trough. output in the period grew just 0.1%, an annual rate of 0.3%. exports - the usual engine of recovery - faltered, while domestic demand stayed subdued and corporate investment also fell short. the growth falls well short of expectations, but does mark a sixth straight quarter of expansion. the economy had stagnated throughout the 1990s, experiencing only brief spurts of expansion amid long periods in the doldrums. one result was deflation - prices falling rather than rising - which made japanese shoppers cautious and kept them from spending. the effect was to leave the economy more dependent than ever on exports for its recent recovery. but high oil prices have knocked 0.2% off the growth rate, while the falling dollar means products shipped to the us are becoming relatively more expensive. the performance for the third quarter marks a sharp downturn from earlier in the year. the first quarter showed annual growth of 6.3%, with the second showing 1.1%, and economists had been predicting as much as 2% this time around. ""exports slowed while capital spending became"
0,"businesses fail to plan for hiv. companies fail to draw up plans to cope with hiv/aids until it affects 20% of people in a country, new research says. the finding comes in a report published on thursday by the world economic forum, harvard and the un aids agency. ""too few companies are responding proactively to the social and business threats,"" said dr kate taylor, head of the wef's global health initiative. nearly 9,000 business leaders in 104 countries were surveyed for business and hiv/aids: commitment and action? dr taylor described the level of action taken by businesses as revealed by the report as ""too little, too late"". the issue will be highlighted to business and world leaders at the world economic forum, which meets in davos, switzerland, next week. the wef report shows that despite the fact that 14,000 people contract hiv/aids every day, concern among businesses has dropped by 23% in the last 12 months. most (71%) have no policies in place to address the disease. nor could over 65% of the business leaders surveyed say or estimate the prevalence of hiv among their staff. the un programme tackling aids, unaids, pointed out that having a clear strategy for dealing with hiv/aids was a good"
0,"imf 'cuts' german growth estimate. the international monetary fund is to cut its 2005 growth forecast for the german economy from 1.8% to 0.8%, the financial times deutschland reported. the imf will also reduce its growth estimate for the 12-member eurozone economy from 2.2% to 1.6%, the newspaper reported. the german economy has been faltering, with unemployment levels rising to a seventy-year high of 5.2 million. its sluggish performance continues to hamper the entire eurozone. the imf's draft world economic outlook - due to be published in april - would point to a marked deterioration in germany's economy, the ft report said. in september, the imf had said that german growth for the current year would be 1.8%. the imf has also revised eurozone forecasts, the paper said, taking into account high oil prices, the strength of the euro and weak demand in many of the world's leading economies. europe's economic difficulties have been highlighted by the organisation for economic co-operation and development, which argued in a report published on tuesday that the continent could only achieve us living standards by freeing up its labour markets. ""the eurozone does not look like it has a self-sustaining recovery,"" james carrick, an economist with abn amro, told"
0,"mixed christmas for us retailers. us retailers posted mixed results for december - with luxury retailers faring well while many others were forced to slash prices to lift sales. upscale department store nordstrom said same store sales were 9.3% higher than during the same period last year. trendy youth labels also sold well, with sales jumping 28% at young women's clothing retailer bebe stores and 32.2% at american eagle outfitters. but wal-mart only saw its sales rise after it cut prices. the company saw a 3% rise in december sales, less than the 4.3% rise seen a year earlier. customers at the world's biggest retailer are generally seen to be the most vulnerable to america's economic woes. commentators claim many have cut back on spending amid uncertainty over job security, while low and middle-income americans have reined in spending in the face of higher gasoline prices. analysts said wal-mart faced a ""stand-off"" with shoppers, stepping up its discounts as the festive season wore on, as consumers waited longer to get the best bargains. however, experts added that if prices had not been cut across the sector, christmas sales - which account for nearly 23% of annual retail sales - would have been far worse. ""so"
0,"india unveils anti-poverty budget. india is to boost spending on primary schools and health in a budget flagged as a boost for the ordinary citizen. india's defence budget has also been raised 7.8% to 830bn rupees ($19bn). the priority for finance minister palaniappan chidambaram is to fight poverty and keep the government's communist allies onside. but his options are limited by a new law which makes him cut the budget deficit, which he said would be 4.5% of gdp in the year to march 2005. the country's overall deficit is thought to be more than 10%, if the spending of india's 35 states and territories is included. under the fiscal responsibility law, mr chidambaram has to trim the deficit by 0.3 percentage points each year, a target he says he has now met for the current year. but the heavy spending on poverty reduction means the 2005-6 target for the deficit will be 4.3%, mr chidambaram said - falling short of the new law's requirement. ""i was left with no option but to press the pause button vis a vis the act,"" he said. the following year, though, would have to be back on track, he warned. ""i may add that we are perilously"
0,"huge rush for jet airways shares. indian airline jet airways' initial public offering was oversubscribed 16.2 times, bankers said on friday. over 85% of the bids were at the higher end of the price range of 1,050-1,125 rupees ($24-$26). jet airways, a low-fare airline, was founded by london-based ex-travel agent naresh goya, and controls 45% of the indian domestic airline market. it sold 20% of its equity or 17.2 million shares in a bid to raise up to $443m (â£230.8m). the price at which its shares will begin trading will be agreed over the weekend, bankers said. ""the demand for the ipo was impressive. we believe that over the next two years, the domestic aviation sector promises strong growth, even though fuel prices could be high,"" said hiten mehta, manager of merchant banking firm, fortune financial services. india began to open up its domestic airline market - previously dominated by state-run carrier indian airlines - in the 1990s. jet began flying in 1993 and now has competitors including air deccan and air sahara. budget carriers kingfisher airlines and spicejet are planning to launch operations in may this year. jet has 42 aircraft and runs 271 scheduled flights daily within india. it recently won government permission to"
